feature,feature_type,reason,semantic_group,n,missing_ratio,mean,std,min,q25,median,q75,q95,q99,max,zero_ratio,negative_ratio,unique_count,skew,q99_median_ratio,is_log_candidate
mActivity_m_activity_value_0_count,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,100.72285714285714,81.96785924316067,0.0,42.0,85.5,141.0,263.04999999999995,359.1899999999998,472.0,0.07714285714285714,0.0,247,1.261309721484446,4.201052631578945,False
mActivity_m_activity_value_0_ratio,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,0.07349201693733028,0.05975792041836268,0.0,0.030381944444444444,0.06145833333333334,0.10208333333333333,0.19170138888888888,0.2654616104868914,0.37623762376237624,0.07714285714285714,0.0,474,1.2960410782790086,4.3193753570748425,False
mActivity_m_activity_value_1_count,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,1.5085714285714287,3.1003596107420672,0.0,0.0,0.0,1.0,8.049999999999955,13.019999999999982,24.0,0.6471428571428571,0.0,20,2.92103699907889,,False
mActivity_m_activity_value_1_ratio,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,0.0011230085950722313,0.0023303237800545227,0.0,0.0,0.0,0.001388888888888889,0.00625,0.0100212761492618,0.020954598370197905,0.6471428571428571,0.0,131,3.2142522835719265,,False
mActivity_m_activity_value_3_count,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,1122.56,290.344106634715,0.0,1011.75,1232.0,1324.0,1409.05,1437.0,1440.0,0.007142857142857143,0.0,430,-1.5827660391130811,1.166396103896104,False
mActivity_m_activity_value_3_ratio,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,0.8132313117459993,0.17804962893010046,0.0,0.762529310966811,0.8690972222222222,0.9251546810784771,0.9826388888888888,0.9979166666666667,1.0,0.007142857142857143,0.0,549,-2.1266725707479197,1.1482221334398721,False
mActivity_m_activity_value_4_count,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,102.14571428571429,230.55396724583548,0.0,0.0,0.0,63.75,593.5999999999995,1122.2799999999997,1440.0,0.5871428571428572,0.0,194,2.9219911642601186,,False
mActivity_m_activity_value_4_ratio,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,0.0783399822957477,0.1784932695544,0.0,0.0,0.0,0.04894024360829716,0.45684027777777725,0.972410089367744,1.0,0.5871428571428572,0.0,277,3.020565128879483,,False
mActivity_m_activity_value_7_count,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,44.862857142857145,36.715603335717404,0.0,16.0,37.0,64.0,113.0,167.0,294.0,0.05142857142857143,0.0,132,1.4689106393978903,4.513513513513513,False
mActivity_m_activity_value_7_ratio,actual_behavior,sensor-derived behavior value,activity_code,700,0.0,0.03298987529058689,0.0273723842736565,0.0,0.011944194644284572,0.027665298379315417,0.04652777777777778,0.08271198240906064,0.11951005446166733,0.2245575221238938,0.05142857142857143,0.0,401,1.672932693813303,4.319854166149956,False
