subject_id,lifelog_date,sleep_date,target,true_label,pred_label,confidence,is_correct
id03,2024-07-27,2024-07-28,Q1,0,1,0.9126102924346924,False
id03,2024-07-28,2024-07-29,Q1,0,1,0.9151736497879028,False
id02,2024-07-29,2024-07-30,S1,0,1,0.926395833492279,False
id02,2024-08-22,2024-08-23,S1,0,1,0.9156763553619384,False
id02,2024-09-12,2024-09-13,S1,0,1,0.9418991804122924,False
id06,2024-06-23,2024-06-24,S1,0,1,0.9093525409698486,False
id06,2024-07-27,2024-07-28,S1,0,1,0.9717759490013124,False
id02,2024-08-10,2024-08-11,S2,0,1,0.9144110083580016,False
id02,2024-08-18,2024-08-19,S2,0,1,0.9247344136238098,False
id06,2024-06-08,2024-06-09,S2,0,1,0.9111159443855286,False
id06,2024-07-24,2024-07-25,S2,0,1,0.97665137052536,False
id02,2024-09-18,2024-09-19,S3,0,1,0.9335933327674866,False
id02,2024-09-19,2024-09-20,S3,0,1,0.9294363260269164,False
id02,2024-09-25,2024-09-26,S3,0,1,0.9279540181159972,False
id06,2024-07-03,2024-07-04,S3,0,1,0.9446069002151488,False
id06,2024-06-12,2024-06-13,S4,0,1,0.90684175491333,False
